NS_FTTH;AGENCIA;EMPLAZAMIENTO;FABRICANTE;MODELO;HOSTNAME;IPADDRESS;RACK;SHELF;SLOT;SUBSLOT;PORT;PORT_TYPE;ID_FIBRA;ESTADO_OPERACIONAL;ESTADO_ADMINISTRATIVO;ESTADO_USO;ESTADO_GENERAL;GESTIONADO;ZONA_COBERTURA;INF_ADICIONAL;INF_COMERCIAL;AGREGADOR_HOSTNAME;AGREGADOR_MODELO;AGREGADOR_IPADDRESS;AGREGADOR_RACK;AGREGADOR_SHELF;AGREGADOR_SLOT;AGREGADOR_SUBSLOT;AGREGADOR_PUERTO;ID_PUERTO;ACCESS_ID
1000009337;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;40;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009337
1000014188;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;52;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014188
1000009289;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;54;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009289
1000009346;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;55;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009346
1000009333;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;56;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009333
3,44E+12;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;57;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;3,44E+12
1000009273;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;60;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009273
1000014170;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;61;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014170
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
